No.,entity,BAU Name lang,BAU Adresse 2 lang,Country/Region Code,City,Post Code
1366780,Atlas,Zehm System SE,Houben Johannes GmbH,D,Heinsberg,52525
1447429,Atlas,Siegen Tech SE,Maler-Einkauf West e. G.,D,Köln,50829
1449655,Atlas,Keller Consulting Bau GmbH,Mawo Fußboden GmbH,D,Leverkusen,51371
1452964,Atlas,Pfeifer Immobilien Holding GmbH,W. Machat & M. von Heel GbR,D,Gangelt,52538
1452966,Atlas,Dachstein Holding AG,Vodafone GmbH,D,Düsseldorf,40549
1463691,Atlas,Wesel Partner Bau GmbH,Fussboden Desing Nail,,Aachen,52070
1479332,Atlas,Imfeld Energy Technik GmbH,Gebäuderenigung Osiecka,D,Bedburg,50181
1480532,Atlas,Siegen Bau SE,Stadt Nettetal,D,Nettetal,41334
1488116,Atlas,Merker Facility Service GmbH,Promotec GmbH,D,Erkelenz,41812
1488117,Atlas,Jülich Service Service GmbH,Petri Bauunternehmung GmbH,D,Wassenberg,41849
1488118,Atlas,Junker Umwelt SE,Paulus Geilenkirchener,D,Geilenkirchen,52511
148901,Atlas,Ochsner Management AG,Industriestraße 50,D,Heinsberg,52525
1505451,Atlas,Falkenau Plan GmbH & Co. KG,Schwarz Haustechnik,D,Hückelhoven,41836
1505452,Atlas,Zander Bau GmbH,Schütz GmbH,D,Erftstadt,50374
1506214,Atlas,Gelsen Bau OHG,Elektro Schroeder GmbH,D,Heinsberg,52525
1506260,Atlas,Ammer Dienst GbR,Partyservice Schneebesen,D,Geilenkirchen,52511
1506262,Atlas,Xaver Construction SE,Schmitz Security GmbH,,Mönchengladbach,41236
1506263,Atlas,Heinsberg Solutions Service GmbH,Bautechnik Scheulen GmbH,,Willich,47877
1506264,Atlas,Vogt Umwelt SE,ETL Paul Schlegel GmbH,,Mönchengladbach,41069
1506265,Atlas,Mauer Concept OHG,Schneider OHG,D,Geilenkirchen,52511
1506267,Atlas,Arnsberg Industrie Verwaltungs GmbH,Schwarzfeller Draht & Zaun,D,Langenfeld,40764
1506268,Atlas,Falkenau Plan SE,Prof. Schiffers BauConsult,D,Köln,50679
1506269,Atlas,Gelsen Holding GmbH,Schade + Naatz GmbH,,Essen,45309
1506270,Atlas,Siegen Umwelt AG,Ingenieurbüro Stefan Schädlich,D,Wassenberg,41849
1506271,Atlas,Castrop Umwelt GbR,Baubiologie Schouren,,Brüggen,41379
1506272,Atlas,Xaver Bau Bau GmbH,GFT Schönen + Schönen GbR,DE,Selfkant,52538
1506273,Atlas,Neuss Bau Bau GmbH,Schulte Bauunternehmen GmbH,D,Haselünne,49740
1506709,Atlas,Hückelhoven Park AG,Schlömer GmbH,D,Geilenkirchen,52511
1506710,Atlas,Viersen Recycling GbR,Bauunternehmung Schopen GmbH,D,Kalkar,47546
1506712,Atlas,Wegberg Recycling Verwaltungs GmbH,Schwegler Vogel- & Natur-,D,Schorndorf,73614
1506715,Atlas,Flur Umwelt GbR,Gerhard Schmidt,D,Holzwickede,59439
1506716,Atlas,Boden Invest Technik GmbH,Franz Schelkle,D,Neuss,41462
1506717,Atlas,Gelsen Immobilien Service GmbH,Schemitzek & Herrig GmbH,D,Düsseldorf,40470
1506719,Atlas,Ilten Facility Bau GmbH,Dipl.-Ing. Kai Schulz,D,Korschenbroich,41352
1506733,Atlas,Sohl Management Service GmbH,Zaunbau Schrömgens GmbH,DE,Mönchengladbach,41068
1506736,Atlas,Sander Park GmbH & Co. KG,Heinrich Wilhelm Schröders,D,Waldfeucht-Haaren,52525
1506737,Atlas,Reuter Werk Bau GmbH,Frank Schmitz GmbH & Co. KG,D,Heinsberg,52525
1506738,Atlas,Brackel System KG,Schulz Concrete Engineering,D,Hamm,59075
1506739,Atlas,Nordmann Bau Technik GmbH,Schneider Bodenbeschichtungen,D,Moers,47445
1506740,Atlas,Brackel Dienst Technik GmbH,SSI Schäfer Shop GmbH,D,Betzdorf/Sieg,57518
1506741,Atlas,Quast Tech SE,Zaunteam Schönauen,DE,Kerpen,50170
1506742,Atlas,Kreis Zentrum GmbH,Marcel Schweda,D,Alsdorf,52477
1506743,Atlas,Torf Concept AG,Schleiff Bauflächentechnik,D,Erkelenz,41812
1506744,Atlas,Zander Management GmbH,Metallbau Williy Schuler KG,D,Übach-Palenberg,52531
1506745,Atlas,Moers Werk OHG,Schwegmann Spezialböden GmbH,D,Rheine,48432
1506746,Atlas,Zander Industrie Bau GmbH,Fliesen Scheins & Beißel,,Aachen,52078
1506747,Atlas,Pfahl Dienst OHG,Schreinerei Schmitz,DE,Heinsberg,52525
1506748,Atlas,Gelsen Concept KG,Wilfried Schubert,D,Heinsberg,52525
1506749,Atlas,Ulmen Tech SE,Carl Schumacher GmbH,D,Wolfenbüttel,38302
1506750,Atlas,Hamm Bau Technik GmbH,Rohrreinigung G. Schneider,,Würselen,52146
1506751,Atlas,Pfeifer Tech Technik GmbH,Dipl.-Ing. Raimund Scholl,,Viersen,41747
1506752,Atlas,Torf Dienst Verwaltungs GmbH,Hubert Schmitz,,Vettweiß,52391
1506753,Atlas,Hammel Smart Holding GmbH,Schmitz & Niewel,,Alsdorf,52477
1506755,Atlas,Altenberg Real Verwaltungs GmbH,Schmitz Datentechnik GmbH,D,Geilenkirchen,52511
1506756,Atlas,Gerber Green GmbH & Co. KG,Schmitz-Stelzer Datentechnik,DE,Geilenkirchen,52511
