No.,entity,BAU Name lang,BAU Adresse 2 lang,Country/Region Code,City,Post Code
20,Atlas,Mauer Logistik Bau GmbH,Anton-Laumen-Straße 62,DE,Waldfeucht,52525
360001,Atlas,Hückelhoven Zentrum KG,,,,
360002,Atlas,Imfeld Materials GmbH & Co. KG,Gildenstraße 2 g,D,Münster,48157
360003,Atlas,Geilenkirchen Park OHG,Grafenberger Allee 300,,Düsseldorf,40237
360004,Atlas,Sander Haus GmbH & Co. KG,Gendorferstraße 25,DE,Hückelhoven,41836
360005,Atlas,Linde Verwaltung Holding GmbH,Helmholtzstraße 49,DE,Jülich,52428
360006,Atlas,Eder Dienst Service GmbH,Boos-Fremery-Straße 62,D,Heinsberg,52525
360007,Atlas,Zülpich Wirtschaft GmbH & Co. KG,Kopernikusstraße 19,D,Bergheim,50126
360008,Atlas,Keller Partner GmbH & Co. KG,Im Ginster 3,,Aachen,52078
360009,Atlas,Ochsner Bau Service GmbH,Lippestraße 20,D,Selm-Bork,59379
360010,Atlas,Regen Holding Service GmbH,Robert-Bosch-Straße 14,DE,Gerabronn,74582
360011,Atlas,Emden Estate KG,Madrider Ring 19,DE,Aachen,52078
360012,Atlas,Imfeld Management Service GmbH,Rudolf-Diesel-Straße 7,,Singen,78224
360013,Atlas,Zülpich Real AG,Colonia-Allee 10-20,DE,Köln,51067
360014,Atlas,Mauer Immobilien Service GmbH,Welserstraße 3,D,Neuss,41468
360015,Atlas,Wenger Concept Verwaltungs GmbH,Apfelstraße 23,D,Heinsberg,52525
360016,Atlas,Jäger Holding KG,Schafhausener Straße 47,D,Heinsberg,52525
360017,Atlas,Eder System Technik GmbH,An der Akademie 5,D,Ostfildern,73760
360018,Atlas,Ilten Real AG,Spichernstraße 75-77,D,Köln,50672
360019,Atlas,Linde Logistik SE,Kölner Straße 95,D,Erkelenz,41812
360020,Atlas,Regen Consulting OHG,Konrad-Zuse-Platz 1,,München,81829
360021,Atlas,Siegen Service GmbH & Co. KG,Große Straße 40,D,Linnich,52441
360022,Atlas,Olfen Gruppe AG,Colonia-Allee 10-20,DE,Köln,51067
360023,Atlas,Kreis Haus Holding GmbH,Waldenrather Weg 21,DE,Heinsberg,52525
360024,Atlas,Mauer Engineering OHG,Adalbertsteinweg 92,DE,Aachen,52070
360025,Atlas,Dreher Dienst Verwaltungs GmbH,Bayernallee 9,,Aachen,52066
360026,Atlas,Moers Wirtschaft Verwaltungs GmbH,Frankfurter Str. 10,,Homberg,35315
360027,Atlas,Viersen Bau KG,Wernher-von-Braun-Straße 2,D,Wallenhorst,49134
360028,Atlas,Merker Solutions GbR,Kreuzstraße 28,D,Geilenkirchen,52511
360029,Atlas,Boden Smart GmbH & Co. KG,Zollernstraße 10,DE,Aachen,52070
360030,Atlas,Wesel Consulting OHG,Pauwelsstraße 17,D,Aachen,52074
360031,Atlas,Lemgo Umwelt Service GmbH,Miesbacher Str. 5,,Valley,83626
360032,Atlas,Aachen Concept Service GmbH,Drischer Straße 21,D,Würselen,52146
360033,Atlas,Troisdorf Verwaltung Service GmbH,Hessenring 22,D,Büttelborn,64572
360034,Atlas,Unna Umwelt Holding GmbH,Schwinningstraße 35,D,Aachen,52076
360035,Atlas,Lemgo Haus OHG,Fürstenwall 172,D,Düsseldorf,40217
360036,Atlas,Gelsen Partner Service GmbH,Industriestraße 50,DE,Heinsberg,52525
360037,Atlas,Junker Holding Service GmbH,Am Pförtchen 15,D,Heinsberg,52525
360038,Atlas,Heinsberg Facility Holding GmbH,Kennedystraße 2,,Bergheim,50126
360039,Atlas,Hückelhoven Engineering Technik GmbH,Benzstraße 5,D,Dormagen,41540
360040,Atlas,Torf Capital Bau GmbH,Klosterstraße 131,D,Würselen,52146
360041,Atlas,Mauer Property Service GmbH,Hallestraße 6,D,Wegberg,41844
360042,Atlas,Neuer Energy Holding GmbH,Auf der Komm 12,,Aldenhoven,52457
360043,Atlas,Dachstein Real Holding GmbH,Frankenplatz 14,,Eschweiler,52249
360044,Atlas,Dachstein Recycling AG,Albert-Büttner-Str. 11,,Lauf,91207
360045,Atlas,Reuter Umwelt AG,Roermonder Straße 248,D,Übach-Palenberg,52531
360046,Atlas,Quast Estate GmbH,Industriestraße 54,D,Heinsberg,52525
360047,Atlas,Zehm Resources OHG,Neuköllner Str. 1,D,Aachen,52068
360048,Atlas,Gelsen Estate Bau GmbH,Werner-von-Siemens-Str. 10a,D,Baesweiler,52499
360049,Atlas,Olfen Haus Bau GmbH,Lagerhausstr. 20,D,Aachen,52058
360050,Atlas,Thalberg Estate KG,Dr.-Kilian-Straße 11,D,Weiden,92633
360051,Atlas,Iserlohn Tech Holding GmbH,Loh 2,,Breckerfeld,58339
360052,Atlas,Wenger Industrie Technik GmbH,Breslauerstraße 29,,Hückelhoven,41836
360053,Atlas,Sohl Construction KG,Eisenbahnweg 18,D,Aachen,52068
360054,Atlas,Bergmann Resources OHG,Szamotulystraat 5,B,,
360055,Atlas,Dachstein Facility SE,Von-Röntgen-Str. 9-11,,Ahaus,48683
360056,Atlas,Imfeld Wirtschaft Bau GmbH,Golkrather Str. 2a,,Erkelenz,41812
360057,Atlas,Gerber Real Bau GmbH,Gewerbering 3,D,Kevelaer,47623
360066,Atlas,Paderborn Solutions AG,Karl-Arnold-Straße 103,D,Heinsberg,52525
360091,Atlas,Merker Zentrum GbR,Sittarder Straße 19,D,Viersen,41748
360108,Atlas,Langer Industrie Service GmbH,Adalbertsteinweg 92,DE,Aachen,52070
360109,Atlas,Kleve Park Bau GmbH,Zechenring 4,D,Hückelhoven,41836
360110,Atlas,Flur Industrie GmbH & Co. KG,Otto-Lilienthal-Straße 1,D,Alsdorf,52477
360118,Atlas,Flur Zentrum OHG,Hindenburgring 12 a,D,Bad Harzburg,38667
360120,Atlas,Ebert Logistik Bau GmbH,Hubertusstr. 27,D,Heinsberg-Kirchhoven,52525
360130,Atlas,Sohl Umwelt GbR,Mathildenstr. 35,D,Düsseldorf,40239
360183,Atlas,Paderborn Immobilien GmbH & Co. KG,Daimlerstraße 5,D,Massenbachhausen,74252
360184,Atlas,Paderborn Verwaltung Verwaltungs GmbH,Bruchstraße 1-9,D,Elkenroth,57578
360185,Atlas,Hückelhoven Capital SE,Bergsheide 12,D,Dülmen-Hiddingsel,48249
360186,Atlas,Neuer Wirtschaft Bau GmbH,Schermbecker Landstr. 22,D,Hünxe,46569
360188,Atlas,Zehm Haus Holding GmbH,Vaalser Str. 259,D,Aachen,52074
360189,Atlas,Imfeld Service AG,Graf-Zeppelin-Straße 2,,Oberhausen,46149
360190,Atlas,Neuss Recycling GmbH,,NL,,
360191,Atlas,Neuss Real Technik GmbH,Am Schaadbach 4b,,Wassenberg,41849
360192,Atlas,Rheine System GbR,Pilgerstraße 11,D,Mülheim,45473
360193,Atlas,Grund Holding OHG,Theresienstraße 19,D,Aachen,52072
360194,Atlas,Heinsberg Materials GmbH & Co. KG,Ritterstr. 20,D,Aachen,52072
360195,Atlas,Wenger Verwaltung Bau GmbH,Kleiner Schloßplatz 13-15,D,Stuttgart,70173
360196,Atlas,Jülich Holding Verwaltungs GmbH,Dackweilerhof 1,D,Titz,52445
360197,Atlas,Nordmann Consulting GbR,Mergelweg 21,D,Hövelhof,33161
360200,Atlas,Neuer Estate GbR,,,,
360201,Atlas,Linde Umwelt AG,Enschedestraße 32,D,Nordhorn,48529
360202,Atlas,Ochsner Umwelt Service GmbH,Frohnhauser Straße 391a,,Essen,45144
360203,Atlas,Geilenkirchen Werk KG,Europaallee 59,,Frechen,50226
360204,Atlas,Emden Solutions Holding GmbH,Im Gansbruch 27,D,Linnich,52441
360205,Atlas,Lemgo Estate GmbH & Co. KG,Haarenerweg 1,NL,Maria Hoop,6105 AW
360206,Atlas,Neuss Logistik GmbH & Co. KG,Schleusenstraße 20,D,Dorsten,46282
360207,Atlas,Wesel Invest GmbH & Co. KG,Aufm Tetelberg,,Düsseldorf,40221
360208,Atlas,Neuer Immobilien GmbH & Co. KG,Sebastiansplatz 9,,München,80331
360209,Atlas,Merker Recycling Holding GmbH,Deile 16,,Essen,45257
360210,Atlas,Bergmann Tech GbR,Lüttelbrachter Str. 114,D,Brüggen,41379
360211,Atlas,Bergmann Holding GmbH & Co. KG,Gut Nierhoven,,Erkelenz,41812
360212,Atlas,Dachstein Gruppe GmbH,Römerstraße 303,,Bonn,53117
360213,Atlas,Imfeld Smart AG,Westpromenade 78,D,Heinsberg,52525
360214,Atlas,Moers Invest Bau GmbH,Overfeldweg 60,D,Leverkusen,51371
360215,Atlas,Regen Estate Service GmbH,An der Eiche 6,D,Heinsberg,52525
360216,Atlas,Arnsberg Logistik Service GmbH,Von Coels-Str. 342,D,Aachen,52080
360217,Atlas,Zander Wirtschaft OHG,Monnetstraße 5,,Würselen,52146
360218,Atlas,Gerber Recycling OHG,Werinherstraße 91,D,München,81541
360219,Atlas,Hückelhoven Verwaltung OHG,Geilenkirchener Straße 29,DE,Gangelt,52538
360220,Atlas,Bergmann Bau SE,Josef-Feuser-Straße 22,,Elsdorf,50189
360221,Atlas,Iserlohn Logistik KG,Prinzengracht 2,D,Jülich,52428
